channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
1,,,,,,639,6713,115,25,1,0,0,0,2,
1,,,,,,614,6865,55,25,1,255,255,0,2,
1,,,,,,639,6925,25,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,#,0,0,0,689,6959,55,25,1,45,255,45,2,
1,,#,0,0,0,689,7019,25,25,1,45,255,45,2,
1,,,,,,639,7049,87,25,1,0,0,0,2,
1,,#,0,0,0,689,7141,55,25,1,45,255,45,2,
1,,#,0,0,0,689,7356,25,25,1,45,255,45,2,
1,,#,0,0,0,689,7386,25,25,1,45,255,45,2,
1,,#,0,0,0,689,7416,25,25,1,45,255,45,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,614,7450,25,25,1,255,255,0,2,
1,,,,,,639,7480,25,25,1,0,0,0,2,
1,,,,,,614,7510,117,25,1,255,255,0,2,
1,,#,230,230,230,589,7632,178,25,1,255,2,2,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,539,7941,115,25,1,17,17,255,2,
1,,#,230,230,230,589,8063,115,25,1,255,2,2,2,
1,,#,0,0,0,514,8308,25,25,1,45,255,45,2,
1,,,,,,539,8338,25,25,1,17,17,255,2,
1,,,,,,539,8368,25,25,1,17,17,255,2,
1,,,,,,539,8398,119,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,539,8522,25,25,1,17,17,255,2,
1,,,,,,564,8554,25,25,1,151,71,6,2,
1,,#,230,230,230,589,8584,85,25,1,255,2,2,2,
1,,#,230,230,230,589,8799,25,25,1,255,2,2,2,
1,,#,230,230,230,589,8829,85,25,1,255,2,2,2,
0,,,,,,,80,,,,,,,1,
1,,#,0,0,0,689,8923,55,25,1,45,255,45,2,
1,,#,0,0,0,689,8983,25,25,1,45,255,45,2,
1,,,,,,639,9013,117,25,1,0,0,0,2,
1,,#,0,0,0,689,9135,148,25,1,45,255,45,2,
1,,,,,,714,9320,25,25,1,17,17,255,2,
1,,#,0,0,0,689,9350,55,25,1,45,255,45,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,614,9414,25,25,1,255,255,0,2,
1,,,,,,639,9444,25,25,1,0,0,0,2,
1,,,,,,614,9474,87,25,1,255,255,0,2,
1,,,,,,614,9566,25,25,1,255,255,0,2,
1,,,,,,639,9596,25,25,1,0,0,0,2,
1,,,,,,614,9626,148,25,1,255,255,0,2,
1,,,,,,639,9871,25,25,1,0,0,0,2,
11,,,,,,51,81,2,1386,,0,50,0,1,
14,,,,,,200,142,1,1236,,0,50,0,1,
13,,,,,,200,202,3,1236,,0,50,0,1,
14,,,,,,200,264,1,1236,,0,50,0,1,
12,,,,,,200,324,1,1236,,0,50,0,1,
12,,,,,,200,327,1,1236,,0,50,0,1,
14,,,,,,200,387,1,1236,,0,50,0,1,
13,,,,,,200,447,3,1236,,0,50,0,1,
14,,,,,,200,509,1,1236,,0,50,0,1,
11,,,,,,51,569,3,1386,,0,50,0,1,
42,,,,,,,81,491,,,1,4,,1,
41,151,231,,,,191,85,120,40,,1,1,57,1,0.263157894736842
41,151,231,,,,191,207,120,40,,1,2,57,1,0.263157894736842
41,151,231,,,,191,330,120,40,,1,3,57,1,0.263157894736842
41,151,231,,,,191,452,120,40,,1,4,57,1,0.263157894736842
31,,,,,,51,85,482,50,,255,255,255,1,1 of 20
32,,,,,,101,85,482,50,,255,255,255,1,4 / 4
33,,,,,,151,85,482,50,,250,250,100,1,A
39,,,,,,1,85,1000,50,,255,255,255,1,sly_demo3
11,,,,,,51,572,2,1386,,0,50,0,1,
14,,,,,,200,633,1,1236,,0,50,0,1,
13,,,,,,200,693,3,1236,,0,50,0,1,
14,,,,,,200,755,1,1236,,0,50,0,1,
12,,,,,,200,815,1,1236,,0,50,0,1,
12,,,,,,200,818,1,1236,,0,50,0,1,
14,,,,,,200,878,1,1236,,0,50,0,1,
13,,,,,,200,938,3,1236,,0,50,0,1,
14,,,,,,200,1000,1,1236,,0,50,0,1,
11,,,,,,51,1060,3,1386,,0,50,0,1,
42,,,,,,,572,491,,,2,4,,1,
41,151,231,,,,191,576,120,40,,2,1,57,1,0.263157894736842
41,151,231,,,,191,698,120,40,,2,2,57,1,0.263157894736842
41,151,231,,,,191,821,120,40,,2,3,57,1,0.263157894736842
41,151,231,,,,191,943,120,40,,2,4,57,1,0.263157894736842
31,,,,,,51,576,482,50,,255,255,255,1,2 of 20
32,,,,,,101,576,482,50,,255,255,255,1,4 / 4
33,,,,,,151,576,482,50,,250,250,100,1,A
39,,,,,,1,576,1000,50,,255,255,255,1,sly_demo3
11,,,,,,51,1063,2,1386,,0,50,0,1,
14,,,,,,200,1124,1,1236,,0,50,0,1,
13,,,,,,200,1184,3,1236,,0,50,0,1,
14,,,,,,200,1246,1,1236,,0,50,0,1,
12,,,,,,200,1306,1,1236,,0,50,0,1,
12,,,,,,200,1309,1,1236,,0,50,0,1,
14,,,,,,200,1369,1,1236,,0,50,0,1,
13,,,,,,200,1429,3,1236,,0,50,0,1,
14,,,,,,200,1491,1,1236,,0,50,0,1,
11,,,,,,51,1551,3,1386,,0,50,0,1,
42,,,,,,,1063,491,,1,3,4,,1,
41,151,231,,,,191,1067,120,40,,3,1,57,1,0.263157894736842
41,151,231,,,,191,1189,120,40,,3,2,57,1,0.263157894736842
41,151,231,,,,191,1312,120,40,,3,3,57,1,0.263157894736842
41,151,231,,,,191,1434,120,40,,3,4,57,1,0.263157894736842
31,,,,,,51,1067,482,50,,255,255,255,1,3 of 20
32,,,,,,101,1067,482,50,,255,255,255,1,4 / 4
33,,,,,,151,1067,482,50,,250,250,100,1,A
