channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
1,,,,,,775,10823,55,25,1,45,255,45,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,725,10887,115,25,1/1/1900,0,0,0,2,
1,,#,0,0,0,750,11009,238,25,1,178,125,255,2,
110,,#,,,,700,11254,35,25,1,255,255,80,2,
110,,,,,,650,11294,35,25,1,255,130,5,2,
110,,,,,,600,11334,35,25,1,45,255,45,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,600,11378,300,25,1,45,255,45,2,
1,,,,,,675,11683,55,25,1,255,71,71,2,
1,,#,0,0,0,650,11745,55,25,1,255,130,5,2,
1,,,,,,725,11805,55,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,675,11869,115,25,1,255,71,71,2,
1,,,,,,700,11991,238,25,1,255,255,80,2,
110,,#,,,,650,12236,35,25,1,255,130,5,2,
110,,,,,,600,12276,35,25,1,45,255,45,2,
110,,,,,,550,12316,35,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,550,12360,177,25,1,0,0,0,2,
1,,,,,,525,12542,55,25,1,255,255,80,2,
1,,,,,,500,12605,55,25,1,255,71,71,2,
1,,#,0,0,0,575,12665,55,25,1,178,125,255,2,
1,,,,,,625,12727,55,25,1,17,17,255,2,
1,,,,,,675,12787,55,25,1,255,71,71,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,600,12851,85,25,1,45,255,45,2,
1,,#,0,0,0,575,12941,25,25,1,178,125,255,2,
106,,,,,,600,12973,19,25,1,45,255,45,2,
106,,#,,,,625,12997,19,25,1,17,17,255,2,
106,,,,,,600,13021,19,25,1,45,255,45,2,
106,,#,,,,575,13045,19,25,1,178,125,255,2,
106,,,,,,550,13069,19,25,1,0,0,0,2,
1,,,,,,550,13096,55,25,1,0,0,0,2,
1,,,,,,600,13156,55,25,1,45,255,45,2,
1,,,,,,650,13218,55,25,1,255,130,5,2,
1,,,,,,725,13278,55,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,650,13342,237,25,1,255,130,5,2,
1,,,,,,675,13587,115,25,1,255,71,71,2,
1,,,,,,700,13709,115,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,525,13833,115,25,1,255,71,71,2,
1,,,,,,550,13955,55,25,1,255,255,80,2,
1,,,,,,575,14015,55,25,1,0,0,0,2,
1,,,,,,600,14078,115,25,1,178,125,255,2,
1,,,,,,625,14200,55,25,1,45,255,45,2,
1,,,,,,650,14260,55,25,1/1/1900,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,450,14324,177,25,1,45,255,45,2,
1,,,,,,475,14506,55,25,1,17,17,255,2,
1,,,,,,525,14569,177,25,1,255,71,71,2,
1,,,,,,475,14751,55,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,425,14815,177,25,1,178,125,255,2,
1,,,,,,450,14997,55,25,1,45,255,45,2,
1,,,,,,475,15060,115,25,1,17,17,255,2,
1,,,,,,525,15182,55,25,1,255,71,71,2,
1,,,,,,475,15242,55,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,400,15306,177,25,1,0,0,0,2,
1,,,,,,425,15488,55,25,1,178,125,255,2,
1,,,,,,375,15551,55,25,1,255,255,80,2,
1,,,,,,400,15611,55,25,1,0,0,0,2,
1,,,,,,475,15673,55,25,1,17,17,255,2,
1,,b,230,230,230,525,15733,55,25,1,255,71,71,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,575,15797,55,25,1,0,0,0,2,
1,,,,,,600,15857,55,25,1/1/1900,178,125,255,2,
1,,,,,,550,15919,55,25,1,255,255,80,2,
1,,,,,,575,15979,118,25,1,0,0,0,2,
1,,,,,,650,16102,55,25,1,17,17,255,2,
1,,b,230,230,230,700,16164,55,25,1,255,71,71,2,
1,,,,,,750,16224,55,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,750,16288,100,25,1,0,0,0,2,
1,,,,,,775,16393,10,25,1,178,125,255,2,
1,,,,,,775,16410,178,25,1,178,125,255,2,
1,,,,,,750,16593,117,25,1,0,0,0,2,
1,,,,,,750,16715,55,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,750,16779,100,25,1,0,0,0,2,
1,,,,,,775,16884,10,25,1,178,125,255,2,
1,,,,,,775,16901,178,25,1,178,125,255,2,
1,,,,,,750,17084,117,25,1,0,0,0,2,
1,,,,,,750,17206,55,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,750,17270,100,25,1,0,0,0,2,
1,,,,,,775,17375,10,25,1,178,125,255,2,
1,,,,,,775,17392,178,25,1,178,125,255,2,
1,,,,,,725,17575,117,25,1,255,255,80,2,
1,,b,0,0,0,675,17697,55,25,1,255,130,5,2,
0,,,,,,,80,,,,,,,1,
1,,b,0,0,0,675,17761,85,25,1,255,130,5,2,
1,,,,,,725,17851,25,25,1,255,255,80,2,
1,,,,,,775,17883,25,25,1,178,125,255,2,
1,,,,,,725,17913,25,25,1,255,255,80,2,
1,,b,0,0,0,675,17943,25,25,1,255,130,5,2,
1,,#,0,255,255,650,17973,25,25,1,17,17,255,2,
1,,,,,,600,18006,55,25,1,178,125,255,2,
1,,,,,,575,18066,55,25,1,0,0,0,2,
1,,#,0,255,255,575,18128,55,25,1,0,0,0,2,
1,,,,,,550,18188,55,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,550,18252,55,25,1,255,130,5,2,
1,,#,230,230,230,575,18312,55,25,1,255,71,71,2,
1,,,,,,575,18374,55,25,1,255,71,71,2,
1,,,,,,600,18434,55,25,1,255,255,80,2,
1,,,,,,550,18497,55,25,1,255,130,5,2,
1,,,,,,525,18557,55,25,1,17,17,255,2,
1,,#,0,255,255,525,18619,55,25,1,17,17,255,2,
1,,,,,,500,18679,55,25,1,45,255,45,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,500,18743,177,25,1,45,255,45,2,
1,,,,,,550,18925,118,25,1,255,130,5,2,
1,,,,,,600,19048,117,25,1,255,255,80,2,
1,,#,0,0,0,650,19170,55,25,1,178,125,255,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,575,19234,300,25,1,255,71,71,2,
1,,,,,,625,19539,55,25,1,0,0,0,2,
110,,,,,,700,19601,35,25,1,17,17,255,2,
110,,,,,,625,19641,35,25,1,0,0,0,2,
110,,#,230,230,230,575,19681,35,25,1,255,71,71,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,500,19725,237,25,1,45,255,45,2,
1,,#,0,0,0,475,19970,115,25,1,178,125,255,2,
1,,,,,,450,20092,115,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,625,20216,177,25,1,0,0,0,2,
1,,,,,,600,20398,55,25,1,255,255,80,2,
106,,#,,,,575,20461,19,25,1,255,71,71,2,
106,,,,,,550,20485,19,25,1,255,130,5,2,
106,,#,,,,575,20509,19,25,1,255,71,71,2,
106,,,,,,600,20533,19,25,1,255,255,80,2,
106,,#,230,230,230,575,20557,19,25,1,255,71,71,2,
1,,,,,,525,20583,55,25,1,17,17,255,2,
1,,,,,,700,20643,55,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,675,20707,360,25,1,45,255,45,2,
1,,#,0,0,0,650,21074,55,25,1,178,125,255,2,
1,,,,,,625,21134,55,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,575,21198,55,25,1,255,71,71,2,
1,,,,,,600,21258,55,25,1,255,255,80,2,
1,,,,,,550,21320,238,25,1,255,130,5,2,
1,,#,0,255,255,625,21565,55,25,1,0,0,0,2,
1,,,,,,600,21625,55,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,575,21689,55,25,1,255,71,71,2,
1,,,,,,550,21749,55,25,1,255,130,5,2,
1,,,,,,525,21811,55,25,1,17,17,255,2,
1,,,,,,500,21871,55,25,1,45,255,45,2,
1,,,,,,500,21934,115,25,1,45,255,45,2,
1,,,,,,675,22056,115,25,1,45,255,45,2,
0,,,,,,,80,,,,,,,1,
1,,#,0,0,0,650,22180,237,25,1,178,125,255,2,
1,,,,,,625,22425,115,25,1,0,0,0,2,
1,,,,,,600,22547,25,25,1,255,255,80,2,
1,,,,,,625,22577,25,25,1,0,0,0,2,
1,,#,0,0,0,650,22607,25,25,1,178,125,255,2,
1,,,,,,625,22637,25,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,600,22671,237,25,1,255,255,80,2,
1,,,,,,575,22916,237,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,575,23162,300,25,1,255,71,71,2,
1,,,,,,625,23467,55,25,1,0,0,0,2,
110,,,,,,700,23529,35,25,1,17,17,255,2,
110,,,,,,625,23569,35,25,1,0,0,0,2,
110,,#,230,230,230,575,23609,35,25,1,255,71,71,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,500,23653,237,25,1,45,255,45,2,
1,,#,0,0,0,475,23898,115,25,1,178,125,255,2,
1,,,,,,450,24020,115,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,575,24144,330,25,1,255,71,71,2,
1,,,,,,625,24479,25,25,1,0,0,0,2,
1,,,,,,700,24511,25,25,1,17,17,255,2,
1,,,,,,625,24541,25,25,1,0,0,0,2,
1,,#,230,230,230,575,24571,25,25,1,255,71,71,2,
1,,,,,,525,24601,25,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,475,24635,237,25,1,178,125,255,2,
1,,,,,,450,24880,115,25,1,0,0,0,2,
1,,,,,,425,25002,115,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,400,25126,300,25,1,255,71,71,2,
1,,#,0,255,255,450,25431,55,25,1,0,0,0,2,
110,,,,,,500,25493,35,25,1,45,255,45,2,
110,,#,,,,575,25533,35,25,1,255,71,71,2,
110,,#,0,255,255,625,25573,35,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
110,,,,,,525,25617,35,25,1,17,17,255,2,
110,,,,,,525,25657,35,25,1,17,17,255,2,
110,,,,,,550,25697,35,25,1,255,130,5,2,
