channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content,
1,,,,,,675,3827,55,25,1,45,255,45,2,,
1,,,,,,975,3827,55,25,1,0,0,0,2,,
1,,,,,,600,3889,55,25,1,255,255,80,2,,
1,,,,,,900,3889,55,25,1,255,130,5,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1225,4013,55,25,1,17,17,255,2,,
1,,,,,,775,4073,55,25,1,255,255,80,2,,
1,,,,,,1075,4073,55,25,1,255,130,5,2,,
1,,,,,,1125,4135,115,25,1,255,255,80,2,,
1,,,,,,725,4135,55,25,1,255,130,5,2,,
1,,#,0,0,0,650,4195,55,25,1,178,125,255,2,,
1,,,,,,1200,4258,55,25,1,45,255,45,2,,
1,,,,,,800,4318,55,25,1,0,0,0,2,,
1,,,,,,1075,4318,55,25,1,255,130,5,2,,
1,,,,,,1150,4380,115,25,1,0,0,0,2,,
1,,,,,,725,4380,55,25,1,255,130,5,2,,
1,,,,,,625,4440,55,25,1,0,0,0,2,,
0,,,,,,,80,,,,,,,1,,
1,,#,0,0,0,1175,4504,55,25,1,178,125,255,2,,
1,,,,,,725,4564,55,25,1,255,130,5,2,,
1,,,,,,1050,4564,55,25,1,17,17,255,2,,
1,,,,,,1075,4626,115,25,1,255,130,5,2,,
1,,,,,,700,4626,55,25,1,17,17,255,2,,
1,,,,,,600,4686,55,25,1,255,255,80,2,,
1,,,,,,1150,4749,55,25,1,0,0,0,2,,
1,,#,230,230,230,750,4809,55,25,1,255,71,71,2,,
1,,,,,,1025,4809,55,25,1,45,255,45,2,,
1,,#,230,230,230,1100,4871,115,25,1,255,71,71,2,,
1,,,,,,675,4871,55,25,1,45,255,45,2,,
1,,#,230,230,230,575,4931,55,25,1,255,71,71,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1325,4995,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,5055,55,25,1,255,71,71,2,,
1,,,,,,1225,5055,55,25,1,17,17,255,2,,
1,,,,,,875,5117,55,25,1,17,17,255,2,,
1,,,,,,1150,5117,55,25,1,0,0,0,2,,
1,,,,,,800,5177,55,25,1,0,0,0,2,,
1,,#,230,230,230,1100,5177,55,25,1,255,71,71,2,,
1,,#,230,230,230,750,5240,55,25,1,255,71,71,2,,
1,,,,,,1050,5240,55,25,1,17,17,255,2,,
1,,,,,,700,5300,55,25,1,17,17,255,2,,
1,,,,,,975,5300,55,25,1,0,0,0,2,,
1,,,,,,625,5362,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,5362,55,25,1,255,71,71,2,,
0,,,,,,,80,,,,,,,1,,
